,Date,City,County,State,latitude,longitude,o3_median,pressure_median,pm25_median,humidity_median,temperature_median,dew_median,no2_median,wind-speed_median,co_median,so2_median,pm10_median,wind-gust_median,day,month,year
91,1/2/2019,portland,multnomah,OR,45.51754386,-122.6487719,0.1,1004,44,89,0,6,14,0,4.5,0.3,0,1,2,1,2019
92,1/2/2019,providence,providence,RI,41.8225,-71.41583333,24.8,1027.1,34,0,0,0,13.9,1.6,3,1.5,0,3,2,1,2019
93,1/2/2019,raleigh,wake,NC,35.82159091,-78.65045455,19.2,1026.6,42,47.7,0,2,13.9,1.5,3.8,1.5,17,1.7,2,1,2019
94,1/2/2019,richmond,richmo,VA,37.54903226,-77.46258065,8.2,1027,35,74.5,-4,0,6.5,1.2,0.1,0.4,0,2.3,2,1,2019
95,1/2/2019,sacramento,sacramento,CA,38.56990196,-121.4671569,0.1,1010.5,38,87.7,12.2,10.3,3.8,2,0,0,15,6.7,2,1,2019
96,1/2/2019,saint paul,ramsey,MN,44.97105263,-93.10394737,18.4,1020.9,59,78,-12,0,13,0.4,4,1.5,20,5.3,2,1,2019
97,1/2/2019,salem,marion,OR,44.93461538,-122.9984615,0,1004.8,30,97,8.8,0,0,0.4,0,0,0,1.7,2,1,2019
98,1/2/2019,salt lake city,salt lake,UT,40.72436364,-111.8878182,10.4,1016.4,53,0,0,0,35.2,1,5.7,0,0,2.6,2,1,2019
99,1/2/2019,san antonio,bexar,TX,29.46241379,-98.51022989,22.4,1018.2,28,90,0,15,0,1.8,0,0,0,3.7,2,1,2019
100,1/2/2019,san diego,san diego,CA,32.77814815,-117.1317284,17.6,1011.3,31,84.2,13.8,0,7.5,1,2.9,0,0,3.5,2,1,2019
101,1/2/2019,san francisco,san francisco,CA,37.77015385,-122.4183077,24.1,1010.1,17,90.7,11.6,0,7.5,3.7,3.3,0,0,9.1,2,1,2019
102,1/2/2019,san jose,santa clara,CA,37.30894737,-121.8722807,24.8,1011.3,13,81.3,0,9,4.7,0,2.4,0,6,8,2,1,2019
103,1/2/2019,seattle,king,WA,47.59079365,-122.3257143,5.6,1002.7,37,90.5,8.1,7,16.7,0.5,3,1.5,0,4.6,2,1,2019
104,1/2/2019,springfield,sangamon,IL,39.78315789,-89.64184211,0,1021.4,0,81.8,-3.1,0,0,3.1,0,0,0,4.6,2,1,2019
105,1/2/2019,staten island,richmond,NY,40.58857143,-74.15,16,1030.6,37,40.2,-8.7,0,22.3,0.8,3.4,1.5,0,2.3,2,1,2019
106,1/2/2019,tallahassee,leon,FL,30.456,-84.2625,13.5,1023.7,28,57.2,12.4,10,0,2,0,0,0,1.2,2,1,2019
107,1/2/2019,tucson,pima,AZ,32.21703704,-110.9498148,17.5,1015,25,51.4,13.5,3,13.8,1,2.6,0.2,21,2.8,2,1,2019
108,1/3/2019,albuquerque,bernalillo,NM,35.1072093,-106.6172093,28.9,1017.1,15,33.7,10.9,0,9.3,0.9,0.9,1.5,15,2.3,3,1,2019
109,1/3/2019,atlanta,fulton,GA,33.7601087,-84.40282609,14.5,1012.2,31,89,16.1,14,5.6,1.3,1.9,0.6,11,2.2,3,1,2019
110,1/3/2019,austin,travis,TX,30.28333333,-97.75064103,6.4,1016.2,52,88.6,0,0,0,1.1,0,0,0,2.4,3,1,2019
111,1/3/2019,baltimore,baltimo,MD,39.30583333,-76.61041667,24.8,1024.5,38,84,0,0,11.2,2,0,0,10,3,3,1,2019
112,1/3/2019,boise,ada,ID,43.60454545,-116.2024242,20.3,1021.1,21,50.7,0,0,0,1,4.5,1.1,13,4,3,1,2019
113,1/3/2019,boston,suffolk,MA,42.35128205,-71.06205128,23.3,1026.3,42,0,0,0,13,0,3.3,1.5,0,6.5,3,1,2019
114,1/3/2019,brooklyn,kings,NY,40.65326923,-73.95653846,500,1026.1,33,80.5,-0.5,-3,18.6,3.6,0.1,0,0,5.9,3,1,2019
115,1/3/2019,charlotte,mecklenburg,NC,35.19635135,-80.82810811,16.8,1015,34,0,0,11.5,0,0.6,0.6,0,0,3.1,3,1,2019
116,1/3/2019,chicago,cook,IL,41.85885057,-87.67643678,23.3,1020.8,53,75.3,-1.7,-4,10.2,2,3,0,16,3.6,3,1,2019
117,1/3/2019,columbia,richland,SC,34.01181818,-81.01333333,13.6,1019.6,26,98,15.1,14.5,0,1,0,0,0,3,3,1,2019
118,1/3/2019,columbus,franklin,OH,39.98804348,-82.97978261,27.2,1018.5,52,74.8,0.4,0,12.1,1.5,0,0,0,4,3,1,2019
119,1/3/2019,dallas,dallas,TX,32.79677966,-96.78355932,14.5,1017.6,33,0,0,0,0,2.5,0,0,0,4.1,3,1,2019
120,1/3/2019,denver,denver,CO,39.74446429,-104.9119643,12.6,1012.4,34,55.6,0,0,9.6,0,3.7,0.6,23,3.4,3,1,2019
121,1/3/2019,detroit,wayne,MI,42.37173913,-83.10043478,24.1,1021.7,45,67.6,0,-8,0,0,0.2,2.9,9,1.2,3,1,2019
122,1/3/2019,el paso,el paso,TX,31.83372263,-106.4245985,26.4,1014.1,21,10.7,0,0,2.8,0.2,0,0,18,7.2,3,1,2019
123,1/3/2019,fort worth,tarrant,TX,32.75272727,-97.33181818,16,1019.2,33,0,0,0,0,0.7,0,0,0,3.8,3,1,2019
124,1/3/2019,fresno,fresno,CA,36.75683333,-119.7833333,12.8,1018,25,0,0,9.3,7.5,0,2.4,0,14,3.5,3,1,2019
125,1/3/2019,hartford,hartford,CT,41.76194444,-72.68055556,13.9,1022.9,30,0,0,-7,5.1,0.5,3.8,0,13,1.2,3,1,2019
126,1/3/2019,honolulu,honolulu,HI,21.30465116,-157.8434884,28.9,1016,13,64.3,17.2,13,0,0.6,6.7,0,10,1.2,3,1,2019
127,1/3/2019,houston,harris,TX,29.76687831,-95.39687831,5.6,0,38,0,0,11,0,1.7,0,0,0,4,3,1,2019
128,1/3/2019,indianapolis,marion,IN,39.78666667,-86.14033333,22.4,1018.8,47,0,0,0,13.9,2,2.3,0,10,5,3,1,2019
129,1/3/2019,jackson,hinds,MS,32.31821429,-90.19857143,11.2,1016.2,39,43,11.3,9.5,7.6,0.8,1.8,0,0,1.8,3,1,2019
130,1/3/2019,jacksonville,duval,FL,30.31615385,-81.64423077,6.5,1018.4,42,91.2,17.7,16,6,1.3,4.2,0.6,16,2.6,3,1,2019
131,1/3/2019,las vegas,clark,NV,36.13558442,-115.191039,15.5,1012,16,36.1,16.3,1,3.7,2.7,0.1,0.2,13,7.9,3,1,2019
132,1/3/2019,little rock,pulaski,AR,34.73,-92.35416667,13.6,1019.6,35,88.3,4.7,1,0,0.7,0,0,0,2,3,1,2019
133,1/3/2019,los angeles,los angeles,CA,34.03708333,-118.2884375,12.8,1012.3,45,0,0,11,15.8,0,3,0,16,1.5,3,1,2019
134,1/3/2019,madison,dane,WI,43.07088235,-89.38882353,0,1020.6,38,68.5,-17.7,-10,0,1.3,0,1.5,10,2.7,3,1,2019
135,1/3/2019,manhattan,riley,KS,39.2125,-96.6125,24.1,1025.6,35,74.7,-0.5,-4,20.4,1.1,3.4,0,0,4.5,3,1,2019
136,1/3/2019,memphis,shelby,TN,35.11030769,-89.97984615,13.6,1017.3,40,82.2,2.3,1,0,2.7,0,0,0,2.4,3,1,2019
137,1/3/2019,miami,miami-dade,FL,25.76768421,-80.26421053,13,1019.5,26,77.3,22.9,0,0,0.5,2.5,0.6,0,5.6,3,1,2019
138,1/3/2019,milwaukee,milwaukee,WI,43.05333333,-87.96404762,33.6,1021.1,53,67.5,-3.6,-12,10.2,1.4,3,1.5,16,1.9,3,1,2019
139,1/3/2019,nashville,davidson,TN,36.15636364,-86.78636364,10.4,1014.2,31,91,6.1,5,0,1.5,0,0,0,5.5,3,1,2019
140,1/3/2019,oakland,alameda,CA,37.7862963,-122.2255556,12.1,1016.9,30,74.2,10.6,0,17.6,0.8,5.2,1.5,0,4.1,3,1,2019
141,1/3/2019,oklahoma city,oklahoma,OK,35.47391892,-97.51662162,21.6,1019,66,0,0,-3,11.2,1.5,2.3,0,23,2.2,3,1,2019
142,1/3/2019,omaha,douglas,NE,41.26652174,-96.02347826,32,1020,63,0,-0.3,0,0,2,2.2,0,20,8.4,3,1,2019
143,1/3/2019,philadelphia,philadelphia,PA,39.97674419,-75.15337209,22.4,1025,35,88.3,0,-2,13.9,1.2,2.3,0,0,4.7,3,1,2019
144,1/3/2019,phoenix,maricopa,AZ,33.50259259,-112.0709877,14.7,33.9,36,43.4,0,0,20.4,0.8,4.5,0.1,20,4,3,1,2019
145,1/3/2019,portland,multnomah,OR,45.51754386,-122.6487719,12.1,1017.9,20,68.4,0,0,8.6,0,2.3,0.2,0,2.7,3,1,2019
146,1/3/2019,providence,providence,RI,41.8225,-71.41583333,29.6,1026,38,0,0,0,21.3,0.7,5.6,1.5,0,1.2,3,1,2019
147,1/3/2019,raleigh,wake,NC,35.82159091,-78.65045455,22.4,1018.9,42,91.2,5.7,6,3.8,1.1,2.5,0,16,4.5,3,1,2019
148,1/3/2019,richmond,richmo,VA,37.54903226,-77.46258065,13.5,1019.8,23,94,2.9,2,2.3,1.2,0.1,0.2,0,2.7,3,1,2019
149,1/3/2019,sacramento,sacramento,CA,38.56990196,-121.4671569,0.1,1018.6,21,79.3,11.7,7,6.5,0.8,0,0,12,2.6,3,1,2019
150,1/3/2019,saint paul,ramsey,MN,44.97105263,-93.10394737,13.6,1020.6,65,88,-9,-12,27.8,0,4.3,1.5,19,1.8,3,1,2019
151,1/3/2019,salem,marion,OR,44.93461538,-122.9984615,0,1019.3,30,90.2,4.6,0,0,1.3,0,0,0,2.8,3,1,2019
152,1/3/2019,salt lake city,salt lake,UT,40.72436364,-111.8878182,27.2,1013.6,11,0,0,0,9.3,1.8,2.5,0,0,4.8,3,1,2019
153,1/3/2019,san antonio,bexar,TX,29.46241379,-98.51022989,9.6,1016.5,53,89,0,10,0,1.4,0,0,0,3,3,1,2019
154,1/3/2019,san diego,san diego,CA,32.77814815,-117.1317284,20,1017,30,86,13.6,0,3.8,1.9,2.8,0,0,5,3,1,2019
155,1/3/2019,san francisco,san francisco,CA,37.77015385,-122.4183077,15.2,1018.5,25,78.5,10.5,0,13,1.3,4.2,1.5,0,2.7,3,1,2019
156,1/3/2019,san jose,santa clara,CA,37.30894737,-121.8722807,12.8,1016.8,30,71,0,6,16.7,0,5,1.5,11,1.6,3,1,2019
157,1/3/2019,seattle,king,WA,47.59079365,-122.3257143,18.4,1020,30,69.4,3.3,-1,14.9,0.2,3.2,1.5,0,4.5,3,1,2019
158,1/3/2019,springfield,sangamon,IL,39.78315789,-89.64184211,19.2,1019.9,59,69.4,1.1,-2,0,2.5,0,0,0,5.4,3,1,2019
159,1/3/2019,staten island,richmond,NY,40.58857143,-74.15,12.1,1025.7,45,80,0,-3,33.4,1,4.5,1.5,0,2.6,3,1,2019
160,1/3/2019,tallahassee,leon,FL,30.456,-84.2625,8.6,1018.3,24,94.2,17.3,17.5,0,1.3,0,0,0,2.8,3,1,2019
161,1/3/2019,tucson,pima,AZ,32.21703704,-110.9498148,14.5,1016.3,21,50.7,15.3,0,11.4,1,1.9,0.2,25,2.2,3,1,2019
162,1/4/2019,albuquerque,bernalillo,NM,35.1072093,-106.6172093,29.6,1025.4,33,58.3,6.1,0,7.5,0.7,1,0,13,1.7,4,1,2019
163,1/4/2019,atlanta,fulton,GA,33.7601087,-84.40282609,32.8,1021.3,20,40.5,10,0,4.7,1,1.9,1.5,9,2.5,4,1,2019
